chr1	893966	897966	NM_198317	+	895966	chr1	896853	896862	M62249	-	896857	9
chr1	915497	919497	NM_001291367	-	917497	chr1	919275	919284	M25679	+	919279	9
chr1	915497	919497	NM_001291367	-	917497	chr1	919277	919286	M35294	-	919281	9
chr1	933552	937552	NM_021170	-	935552	chr1	933584	933593	M81464	+	933588	9
chr1	933552	937552	NM_021170	-	935552	chr1	933586	933595	M82196	-	933590	9
chr1	933552	937552	NM_021170	-	935552	chr1	936318	936327	M37519	+	936322	9
chr1	933552	937552	NM_021170	-	935552	chr1	936320	936329	M68063	-	936324	9
chr1	1007687	1011687	NM_001205252	-	1009687	chr1	1008114	1008123	M72587	+	1008118	9
chr1	1107285	1111285	NM_001130045	+	1109285	chr1	1109720	1109729	M25692	+	1109724	9
chr1	1107285	1111285	NM_001130045	+	1109285	chr1	1109722	1109731	M156	-	1109726	9
chr1	1147548	1151548	NM_003327	-	1149548	chr1	1147664	1147673	M72609	+	1147668	9
chr1	1147548	1151548	NM_003327	-	1149548	chr1	1147666	1147675	M21205	-	1147670	9
chr1	1147548	1151548	NM_003327	-	1149548	chr1	1148823	1148832	M52503	+	1148827	9
chr1	1147548	1151548	NM_003327	-	1149548	chr1	1148825	1148834	M161	-	1148829	9
chr1	1147548	1151548	NM_003327	-	1149548	chr1	1149051	1149060	M58209	+	1149055	9
chr1	1147548	1151548	NM_003327	-	1149548	chr1	1149790	1149799	M32837	+	1149794	9
chr1	1165447	1169447	NM_016547	-	1167447	chr1	1167889	1167898	M45673	+	1167893	9
chr1	1165447	1169447	NM_016547	-	1167447	chr1	1167891	1167900	M62263	-	1167895	9
chr1	1165447	1169447	NM_016547	-	1167447	chr1	1168091	1168100	M32838	+	1168095	9
chr1	1165447	1169447	NM_016547	-	1167447	chr1	1168093	1168102	M27151	-	1168097	9
chr1	1165628	1169628	NM_080605	+	1167628	chr1	1167889	1167898	M45673	+	1167893	9
chr1	1165628	1169628	NM_080605	+	1167628	chr1	1167891	1167900	M62263	-	1167895	9
chr1	1165628	1169628	NM_080605	+	1167628	chr1	1168091	1168100	M32838	+	1168095	9
chr1	1165628	1169628	NM_080605	+	1167628	chr1	1168093	1168102	M27151	-	1168097	9
chr1	1180102	1184102	NM_001014980	-	1182102	chr1	1181869	1181878	M56229	+	1181873	9
chr1	1241269	1245269	NM_030649	-	1243269	chr1	1244127	1244136	M4361	+	1244131	9
chr1	1241269	1245269	NM_030649	-	1243269	chr1	1244129	1244138	M7499	-	1244133	9
chr1	1241993	1245993	NM_153339	+	1243993	chr1	1244127	1244136	M4361	+	1244131	9
chr1	1241993	1245993	NM_153339	+	1243993	chr1	1244129	1244138	M7499	-	1244133	9
chr1	1264725	1268725	NM_152228	+	1266725	chr1	1268330	1268339	M7500	-	1268334	9
