chr12	57081080	57081092	-	M00055	1.099402	3.339733	0.953484936154		992	4.82965469104	prostaglandin E synthase 3	103909	0.443925233645	PTGES3	24387
chr3	53289132	53289144	+	M00055	1.097013	2.113368	0.95585869483		992	4.84803223718	transketolase	103831	0.456919060052	TKT	7278
chr3	101294015	101294027	-	M00055	0.653196	2.375978	0.90031747374		980	4.41803429179	PEST proteolytic signal-containing nuclear	106415	0.407311669129	PCNP	7391
chr12	53401033	53401045	+	M00055	1.849612	3.286846	0.936320493305		978	4.69676825077	eukaryotic translation initiation factor 4B	104352	0.238782051282	EIF4B	24219
chr5	139029270	139029282	+	M00055	0.490253	2.122755	0.88398888555		976	4.29161900536	CXXC-type zinc finger protein 5	107777	0.368601583113	CXXC5	10456
chr7	15725326	15725338	+	M00055	0.347685	1.98222	0.895184362992		976	4.37829395062	homeobox protein MOX-2	106838	0.462619617225	MEOX2	13454
chrX	12810438	12810450	+	M00055	0.31654	2.030307	0.886291027483		971	4.3094420975	ribose-phosphate pyrophosphokinase 2 isoform 1	107616	0.418161151806	PRPS2	17803
chr13	76055274	76055286	+	M00055	2.173239	3.326117	0.927281807499		970	4.62679110138	TBC1 domain family member 4	104789	0.1875	TBC1D4	25137
chr13	76055274	76055286	-	M00055	2.175742	3.326117	0.955746797581		970	4.84716593309	TBC1 domain family member 4	103836	0.25	TBC1D4	25137
chr11	6676100	6676112	+	M00055	1.433611	2.302919	0.899627739636		968	4.41269439754	protocadherin-16 precursor	106481	0.232903865213	DCHS1	21728
chr11	6676100	6676112	-	M00055	1.441961	2.302919	0.960681691829		968	4.88537168993	protocadherin-16 precursor	103724	0.364224137931	DCHS1	21728
chr4	6201353	6201365	+	M00055	0.800345	1.837988	0.924142816104		959	4.60248915367	janus kinase and microtubule-interacting protein	105054	0.42363877822	JAKMIP1	8155
chr4	6201353	6201365	-	M00055	0.800345	1.837988	0.924142816104		959	4.60248915367	janus kinase and microtubule-interacting protein	105055	0.42363877822	JAKMIP1	8155
chr16	87902140	87902152	+	M00055	1.135062	2.121982	0.883184742954		954	4.28539336506	large neutral amino acids transporter small	107874	0.252245113576	SLC7A5	29321
chr16	87902140	87902152	-	M00055	1.144498	2.121982	0.93040085711		954	4.65093866058	large neutral amino acids transporter small	104632	0.362295081967	SLC7A5	29321
chr6	127839542	127839554	-	M00055	0.381831	2.789314	0.891255840037		952	4.34787948069	hypothetical protein LOC387104 precursor	107242	0.428353235212	C6orf174	11326
chr4	110222846	110222858	+	M00055	0.52062	2.002144	0.92817170255		947	4.6336806338	collagen alpha-1(XXV) chain isoform 2	104721	0.491972477064	COL25A1	8071
chr11	72384542	72384554	+	M00055	1.103764	2.080646	0.883949975674		946	4.29131776663	cGMP-dependent 3',5'-cyclic phosphodiesterase	107787	0.259566968781	PDE2A	21007
chr11	72384542	72384554	-	M00055	1.126115	2.080646	0.917712524472		946	4.5527060892	cGMP-dependent 3',5'-cyclic phosphodiesterase	105320	0.331288343558	PDE2A	21007
chr12	56499040	56499052	-	M00055	1.872389	4.234155	0.927881748137		944	4.63143581816	proliferation-associated protein 2G4	104769	0.231927710843	PA2G4	24350
chr12	85305658	85305670	+	M00055	1.229462	2.909494	0.906004497611		942	4.46206300653	sodium-dependent neutral amino acid transporter	106020	0.279122541604	SLC6A15	24547
chr7	27223888	27223900	+	M00055	0.427433	3.963905	0.891465372744		941	4.34950167464	homeobox protein Hox-A11	107198	0.415532879819	HOXA11	13518
chr8	61430490	61430502	+	M00055	1.260562	3.132756	0.908053191093		938	4.47792391075	ras-related protein Rab-2A	105910	0.26746031746	RAB2A	14738
chr8	61430490	61430502	-	M00055	1.267354	3.132756	0.93118769804		938	4.65703035206	ras-related protein Rab-2A	104593	0.333333333333	RAB2A	14738
chr12	112857465	112857477	+	M00055	1.042415	2.481832	0.921727076734		936	4.58378659464	tyrosine-protein phosphatase non-receptor type	105195	0.362222222222	PTPN11	24746
chr17	73453593	73453605	-	M00055	0.209762	2.189008	0.89128731558		936	4.3481231631	hypothetical protein LOC9772	107232	0.469181721573	KIAA0195	31226
chr2	45879970	45879982	-	M00055	1.801207	3.44251	0.937074646338		934	4.70260687384	protein kinase C epsilon type	104325	0.258566978193	PRKCE	3780
chrX	13708166	13708178	+	M00055	0.142697	2.134302	0.886662535081		933	4.31231829468	ras-related protein Rab-9A	107595	0.466103739445	RAB9A	17813
chr11	11642626	11642638	-	M00055	1.55644	3.27552	0.931517655642		929	4.65958487081	putative polypeptide	104580	0.271455223881	GALNTL4	20982
chr11	69518179	69518191	+	M00055	0.739585	1.882153	0.887031525653		921	4.31517500516	fibroblast growth factor 19 precursor	107563	0.334157599736	FGF19	22567
chr11	69518179	69518191	-	M00055	0.751426	1.882153	0.918780857427		921	4.56097708085	fibroblast growth factor 19 precursor	105291	0.440192743764	FGF19	22567
chr12	10875039	10875051	+	M00055	1.638686	2.57366	0.975627485269		908	5.00108143389	DNA-binding protein A isoform b	103534	0.201492537313	CSDA	23914
chr16	18936813	18936825	-	M00055	1.461568	2.562317	0.944438619573		907	4.75961846449	serine/threonine-protein kinase SMG1	104086	0.300228310502	SMG1	27955
